parameter,feature,importance
a,pp_delay_200_peak2_amplitude,0.003182962150222075
a,pp_delay_200_time_to_peak1,0.0004396847311619751
a,pp_delay_200_time_to_peak2,0.0017178505741049235
a,pp_delay_200_auc1,0.0013305347355601466
a,pp_delay_200_auc2,0.0030459704829095837
a,pp_delay_200_peak_width1,0.0014368573941044515
a,pp_delay_200_peak_width2,0.0035460565026294733
a,pp_delay_200_peak_ratio,0.001975261372730259
a,pp_delay_200_auc_ratio,0.0025463828686278773
a,pp_delay_200_latency_change,0.0010489634174718988
a,pp_delay_200_width_ratio,0.003604192553693555
a,pp_delay_200_baseline_shift,0.001448068001941778
a,pp_delay_200_recovery_fraction,0.0028847840325975497
a,pp_delay_200_effective_ipi,0.0013405154523080311
a,pp_delay_200_waveform_correlation,0.005266955436249407
a,pp_delay_200_total_response,0.0031828214836381176
a,pp_delay_200_facilitation_index,0.0014526293543060701
a,pp_delay_800_peak1_amplitude,0.0026191019833079463
a,pp_delay_800_peak2_amplitude,0.0025641169525544307
a,pp_delay_800_time_to_peak1,0.000809522077872962
a,pp_delay_800_time_to_peak2,0.003144101437421932
a,pp_delay_800_auc1,0.0034931904020217607
a,pp_delay_800_auc2,0.023309652309972825
a,pp_delay_800_peak_width1,0.0020186972791112084
a,pp_delay_800_peak_width2,0.005190685735063689
a,pp_delay_800_peak_ratio,0.0017633910153085134
a,pp_delay_800_auc_ratio,0.0025617319528791964
a,pp_delay_800_latency_change,0.0007621668311613006
a,pp_delay_800_width_ratio,0.003774618202035963
a,pp_delay_800_baseline_shift,0.18843517698304257
a,pp_delay_800_recovery_fraction,0.006062797956052243
a,pp_delay_800_effective_ipi,0.0007795348532569948
a,pp_delay_800_waveform_correlation,0.0035728809782145697
a,pp_delay_800_total_response,0.019921452239345674
a,pp_delay_800_facilitation_index,0.0015161053781927736
a,pp_delay_2000_peak1_amplitude,0.0031588594755704883
a,pp_delay_2000_peak2_amplitude,0.0031413437126911526
a,pp_delay_2000_time_to_peak1,0.0004792750975045944
a,pp_delay_2000_time_to_peak2,0.01405696057360114
a,pp_delay_2000_auc1,0.015321119645184369
a,pp_delay_2000_auc2,0.018520803539664125
a,pp_delay_2000_peak_width1,0.0066621022901908545
a,pp_delay_2000_peak_width2,0.015300749186973588
a,pp_delay_2000_peak_ratio,0.001827303900195713
a,pp_delay_2000_auc_ratio,0.002783197805851817
a,pp_delay_2000_latency_change,0.0006623221532900766
a,pp_delay_2000_width_ratio,0.004640392012567076
a,pp_delay_2000_baseline_shift,0.42916372303937433
a,pp_delay_2000_recovery_fraction,0.026267320513378514
a,pp_delay_2000_effective_ipi,0.0010265606980831973
a,pp_delay_2000_waveform_correlation,0.003795707887979306
a,pp_delay_2000_total_response,0.03001816097767683
a,pp_delay_2000_facilitation_index,0.0015470536668062607
