num_nodes,trial_idx,random_state,trial_duration_seconds,num_edges,network_density,area_size,coupling_radius,tau_v,tau_w,a,b,v_scale,R_off,R_on,alpha,R_ratio,tau_ratio,b_minus_a,step_rise_time,step_saturation_voltage,step_oscillation_index,pp_recovery_ratio_delay_200,pp_first_peak_delay_200,pp_second_peak_delay_200,pp_recovery_ratio_delay_800,pp_first_peak_delay_800,pp_second_peak_delay_800,pp_recovery_ratio_delay_2000,pp_first_peak_delay_2000,pp_second_peak_delay_2000,tri_hysteresis_area,pp_avg_recovery_ratio,pp_std_recovery_ratio,pp_recovery_slope,characterization_success,error_message
40,0,876004,1.6892659664154053,142,0.18205128205128204,20.0,2.0,35.25261217425094,313.88023034240103,0.6594187514155697,0.9373499467916657,1.7298680776109172,192.66371420688915,9.439417012444911,0.004876541173300815,20.410552256869426,8.903743892535262,0.277931195376096,55.15515515515514,-1.230651430503665,0.13681571426289693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018140426416883817,0.0,0.0,0.0,True,
40,1,303204,2.9943039417266846,130,0.16666666666666666,20.0,2.0,48.08719522777035,898.2154472487857,0.6882332534508675,0.8589405079691927,1.6367323500248836,91.14756139945847,8.684919665901006,0.004920552878182967,10.494922797884335,18.67889035728302,0.17070725451832525,20.12012012012012,-1.2462012067362342,0.8452191180603322,0.0,1.3200630384674923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0636907310824286,0.0,0.0,0.0,True,
40,2,394532,2.847148895263672,177,0.22692307692307692,20.0,2.0,103.62120275547127,479.9351115694682,0.6088885444058336,0.9293935384966299,3.7262028882980665,252.85496776390195,13.819894096244543,0.0008422545627967472,18.29644757065204,4.631630388445064,0.32050499409079625,50.150150150150154,-1.2124387602557796,0.5295210902023242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04771295603706833,0.0,0.0,0.0,True,
40,3,982588,0.6630721092224121,126,0.16153846153846155,20.0,2.0,138.56457286932073,1439.4271010707232,0.7474254452502457,0.908647645511771,3.84502716248032,114.71098485330614,18.717969202081008,0.00018536468808761237,6.1283883745546985,10.38813219904511,0.16122220026152534,-100.0,-1.3693854123353526,0.26695175537235166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0094726406790256,0.0,0.0,0.0,True,
40,4,703328,0.6823370456695557,118,0.15128205128205127,20.0,2.0,143.22081436730704,722.4265190191477,0.736164209835724,0.9337797379051165,4.101220214193696,167.63982536253332,2.3257438648130773,0.00015530816645233978,72.08008925609128,5.0441447509605535,0.19761552806939253,15.115115115115117,-1.309411866357956,0.4694926360164684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04620474021281016,0.0,0.0,0.0,True,
40,5,633141,1.813704013824463,131,0.16794871794871793,20.0,2.0,92.41686694058984,1105.70527752802,0.5164964041258729,0.9582454570371669,3.10304242807624,87.92960678140619,32.37278931576832,0.00316614260083804,2.7161578794996495,11.964323333302591,0.44174905291129396,35.13513513513513,-1.1988501757008885,1.0470486671827786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06950281349395568,0.0,0.0,0.0,True,
40,6,519782,2.5263350009918213,120,0.15384615384615385,20.0,2.0,45.69115265667992,876.0795746511607,0.6646596223536426,0.7345837199556419,7.281398772740089,237.62586574080908,30.076547396416707,0.011247981063670398,7.900702916755652,19.173943394117465,0.06992409760199925,-100.0,-1.404176058066145,0.8769158312584308,0.9575108489520251,1.0996731986501922,1.0529490189668453,1.3069899858715666,0.9130821295401996,1.1933892008943154,1.01441703236159,0.900086675521509,0.9130632552651556,0.07394775429381273,1.0929726223950604,0.15310595966984636,3.161454633864715e-05,True,
40,7,620078,0.5767788887023926,103,0.13205128205128205,20.0,2.0,134.56195299307765,1267.4102016429267,0.6833655599472516,0.926778175079745,8.039384440224463,236.1857983088785,42.86589840828657,0.0003367761663703412,5.509876313783745,9.41878572250008,0.24341261513249346,-100.0,-1.352931478460169,0.5316375216218138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04287943818606996,0.0,0.0,0.0,True,
40,8,50317,1.8747658729553223,117,0.15,20.0,2.0,101.08224854989561,536.2493972494344,0.6317443406889292,0.8495230781526533,8.820511695147719,234.21356602856414,11.236279742348518,0.0030715394814086147,20.84440503433129,5.305079823038703,0.21777873746372411,20.12012012012012,-1.2793193137281547,0.782923075363218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0569817091550524,0.0,0.0,0.0,True,
40,9,287403,0.8303623199462891,123,0.1576923076923077,20.0,2.0,98.7072294126547,404.7493291348493,0.6018380965863045,0.9303629879589648,6.887859105261217,61.887080086360164,33.94358428651658,0.0002273308392189856,1.823233503096595,4.100503393148209,0.3285248913726603,55.15515515515514,-1.1847773940991753,0.6672175082981505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05433582507495707,0.0,0.0,0.0,True,
