specimen_idx,specimen_seed,num_nodes,num_edges,network_density,tuned_score,true_tau_v,true_tau_w,true_a,true_b,true_v_scale,true_R_off,true_R_on,true_alpha,condition,param_source,waveform_mismatch,abs_err_tau_v,rel_err_tau_v,abs_err_tau_w,rel_err_tau_w,abs_err_a,rel_err_a,abs_err_b,rel_err_b,abs_err_v_scale,rel_err_v_scale,abs_err_R_off,rel_err_R_off,abs_err_R_on,rel_err_R_on,abs_err_alpha,rel_err_alpha,mean_rel_err_all,median_rel_err_all,mean_rel_err_core,waveform_mismatch_before,success,error_message,duration_seconds,initial_abs_err_tau_v,initial_rel_err_tau_v,initial_abs_err_tau_w,initial_rel_err_tau_w,initial_abs_err_a,initial_rel_err_a,initial_abs_err_b,initial_rel_err_b,initial_abs_err_v_scale,initial_rel_err_v_scale,initial_abs_err_R_off,initial_rel_err_R_off,initial_abs_err_R_on,initial_rel_err_R_on,initial_abs_err_alpha,initial_rel_err_alpha,initial_mean_rel_err_all,initial_median_rel_err_all,initial_mean_rel_err_core,opt_success,opt_n_evals,opt_final_mismatch
15,31471,20,32,0.1684210526315789,0.0508791963444006,55.77272378333191,707.8379456467349,0.6974829132218899,0.8756683918881746,5.38371898729695,250.0,15.300154416399325,0.0118331652411437,ml_only,ml_predicted,0.35796854143246093,10.58477376855307,18.978405662334584,106.11897654502945,14.991987530148027,0.12028977449884326,17.24626828862964,0.04846992340089762,5.535191614127849,0.02254186259406943,0.41870429431474676,90.96645709314143,36.386582837242024,5.33377386751061,34.86091527127853,0.002260937841913174,19.106788223873913,18.440605465243664,18.112336975482112,15.171728263822803,0.35796854143246093,True,,3.2695438861846924,,,,,,,,,,,,,,,,,,,,,,
15,31471,20,32,0.1684210526315789,0.0508791963444006,55.77272378333191,707.8379456467349,0.6974829132218899,0.8756683918881746,5.38371898729695,250.0,15.300154416399325,0.0118331652411437,ml_refine,ml_refined,0.04088815090342361,0.21254208027928456,0.3810860683523282,8.843953858380814,1.2494320080988386,0.061004519091730325,8.746381872092773,0.042183278237787336,4.817266287528281,1.904374939795142,35.37285181959163,42.396213220742226,16.958485288290106,1.1127978208457563,7.273114967034198,0.0011449000657671581,9.675349179702252,10.5592459363363,8.009748419563486,4.9739030831548945,0.35796862398511187,True,,40037.33292245865,10.584773768553049,18.978405662334545,106.11897654502923,14.991987530147993,0.12028977449884326,17.24626828862964,0.04846992340089762,5.535191614127849,0.022541862594071205,0.4187042943147797,90.96645709314143,36.386582837242024,5.333773867510606,34.86091527127851,0.0022609378419131756,19.10678822387393,18.440605465243657,18.112336975482094,15.171728263822791,True,19597.0,0.04088815090342361
2,5765,30,80,0.1839080459770115,0.65385057629438,42.70670862907431,1047.592442317591,0.6392718903721559,0.95,3.424687844689016,113.62244343249353,21.288934550933163,0.0093641382946731,oracle,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,3.8107094764709473,,,,,,,,,,,,,,,,,,,,,,
2,5765,30,80,0.1839080459770115,0.65385057629438,42.70670862907431,1047.592442317591,0.6392718903721559,0.95,3.424687844689016,113.62244343249353,21.288934550933163,0.0093641382946731,ml_only,ml_predicted,0.970241068102835,1.2118552653530017,2.837622716083404,122.76162355581437,11.718452577246248,0.03964226940400528,6.201159474527519,0.11757205266196735,12.376005542062247,2.8277086534850886,82.56836189574803,45.61540828980418,40.146477149882365,1.8052854632338686,8.479923966632972,0.002628375729275919,28.068527167124113,24.04956631116336,12.047229059654248,12.240353495408707,0.970241068102835,True,,4.803911447525024,,,,,,,,,,,,,,,,,,,,,,
2,5765,30,80,0.1839080459770115,0.65385057629438,42.70670862907431,1047.592442317591,0.6392718903721559,0.95,3.424687844689016,113.62244343249353,21.288934550933163,0.0093641382946731,ml_refine,ml_refined,0.00984657251342641,2.002946511745982,4.690004395182319,20.335351880212784,1.9411510677972155,0.023271534363774715,3.6403187298892083,0.06447290855083654,6.786621952005254,3.5856624028303408,104.70041549294085,6.793644080633825,5.979139222317598,0.5011361836318713,2.3539749367473672,0.0001971910611423943,2.1058110509619206,16.524679605980214,4.165161562535763,3.8327814391671837,0.970241057200334,True,,58924.87342095375,1.2118552653529946,2.8376227160833873,122.7616235558146,11.71845257724627,0.03964226940400517,6.201159474527502,0.11757205266196735,12.376005542062247,2.8277086534850877,82.56836189574801,45.61540828980418,40.146477149882365,1.8052854632338686,8.479923966632972,0.0026283757292759197,28.068527167124124,24.04956631116336,12.047229059654258,12.240353495408707,True,13396.0,0.00984657251342641
11,41348,40,142,0.182051282051282,0.0951883174900801,55.26351686652539,750.4190835808552,0.6012497506573342,0.7740322587356283,6.163497716911257,82.17611470632869,17.535610055131635,0.012892805980391,oracle,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,9.68062424659729,,,,,,,,,,,,,,,,,,,,,,
11,41348,40,142,0.182051282051282,0.0951883174900801,55.26351686652539,750.4190835808552,0.6012497506573342,0.7740322587356283,6.163497716911257,82.17611470632869,17.535610055131635,0.012892805980391,ml_only,ml_predicted,1.3085162755510762,13.977497837621002,25.292450843030327,65.8202429071539,8.771131271484144,0.01766392994906152,2.937868984862286,0.023962460533422658,3.095796106672509,0.06459391064564546,1.0480073752175851,70.32549007262102,85.57899132108689,7.763494298143431,44.27273572855964,0.004447812810264179,34.49840773630321,25.686923670902072,17.031791057257237,14.919130988470494,1.3085162755510762,True,,8.054280996322632,,,,,,,,,,,,,,,,,,,,,,
11,41348,40,142,0.182051282051282,0.0951883174900801,55.26351686652539,750.4190835808552,0.6012497506573342,0.7740322587356283,6.163497716911257,82.17611470632869,17.535610055131635,0.012892805980391,ml_refine,ml_refined,0.007088434999899024,2.6506208062487246,4.796330303490839,22.574087962522185,3.0081974801067135,0.0013840655915358102,0.23019811480876973,0.05731267131077067,7.404429293035634,0.3131499834145801,5.080718737840788,49.56292264821792,60.3130518220285,1.3082419363235935,7.460487158433865,0.001976787436527237,15.332484055071486,12.953237120602074,6.242574015438211,6.154327849302688,1.3085162931728893,True,,67196.58347177505,13.977497837621002,25.292450843030327,65.8202429071539,8.771131271484144,0.01766392994906152,2.937868984862286,0.02396246053342277,3.0957961066725233,0.06459391064564723,1.048007375217614,70.32549007262102,85.57899132108689,7.763494298143421,44.272735728559574,0.004447812810264179,34.49840773630321,25.68692367090207,17.031791057257237,14.9191309884705,True,7231.0,0.007088434999899024
9,82565,30,64,0.1471264367816092,0.1265294242630124,53.12411929292888,933.8735911035022,0.637725233245003,0.9027294305246482,1.7830284372184124,194.48295752412463,15.355314484159694,0.0107929526415994,oracle,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,3.1526870727539062,,,,,,,,,,,,,,,,,,,,,,
9,82565,30,64,0.1471264367816092,0.1265294242630124,53.12411929292888,933.8735911035022,0.637725233245003,0.9027294305246482,1.7830284372184124,194.48295752412463,15.355314484159694,0.0107929526415994,ml_only,ml_predicted,1.1554227048929304,8.478607299614303,15.95999597253915,217.86722865630907,23.329413180947235,0.08875826416607491,13.917947656002122,0.10833381787499619,12.000696354835142,3.4445775562728294,193.18691077374547,36.518097562250034,18.7770167767535,7.518865242503557,48.96588246506404,0.0063632868233049105,58.95779380909195,48.136957123622324,21.053214978850367,24.833169394683118,1.1554227048929304,True,,5.195515155792236,,,,,,,,,,,,,,,,,,,,,,
9,82565,30,64,0.1471264367816092,0.1265294242630124,53.12411929292888,933.8735911035022,0.637725233245003,0.9027294305246482,1.7830284372184124,194.48295752412463,15.355314484159694,0.0107929526415994,ml_refine,ml_refined,0.04279716101435799,1.874482615803302,3.5284963605020705,37.49803245038595,4.015322074379763,0.028844520450645117,4.523032638892073,0.09374136726186777,10.384215256724595,3.3206621676234844,186.2371961166025,12.91422165391603,6.640284484725324,1.8257248534795298,11.88985647510528,0.0034219797832566517,31.705686712286585,32.365511264902274,8.51224987072496,10.831350608557017,1.1554227065532074,True,,73359.2529387474,8.478607299614296,15.959995972539136,217.8672286563093,23.32941318094726,0.0887582641660748,13.917947656002106,0.10833381787499619,12.000696354835142,3.444577556272831,193.18691077374555,36.518097562250034,18.7770167767535,7.518865242503557,48.96588246506404,0.0063632868233049105,58.95779380909195,48.13695712362234,21.053214978850377,24.833169394683118,True,18040.0,0.04279736974793689
