condition,param_source,waveform_mismatch,xor_score_on_twin,xor_accuracy_twin,xor_separation_twin,xor_accuracy_specimen,xor_separation_specimen,transfer_success_75,transfer_success_100,success,error_message,duration_seconds,num_nodes,num_edges,network_density,specimen_idx,specimen_seed,true_tau_v,true_tau_w,true_a,true_b,true_v_scale,true_R_off,true_R_on,true_alpha,ml_abs_err_tau_v,ml_rel_err_tau_v,ml_abs_err_tau_w,ml_rel_err_tau_w,ml_abs_err_a,ml_rel_err_a,ml_abs_err_b,ml_rel_err_b,ml_abs_err_v_scale,ml_rel_err_v_scale,ml_abs_err_R_off,ml_rel_err_R_off,ml_abs_err_R_on,ml_rel_err_R_on,ml_abs_err_alpha,ml_rel_err_alpha,waveform_mismatch_before,opt_n_evals,opt_success,opt_final_mismatch,refined_abs_err_tau_v,refined_rel_err_tau_v,refined_abs_err_tau_w,refined_rel_err_tau_w,refined_abs_err_a,refined_rel_err_a,refined_abs_err_b,refined_rel_err_b,refined_abs_err_v_scale,refined_rel_err_v_scale,refined_abs_err_R_off,refined_rel_err_R_off,refined_abs_err_R_on,refined_rel_err_R_on,refined_abs_err_alpha,refined_rel_err_alpha
oracle,true,0.0,0.0224546800059777,0.75,0.8363266396104396,0.75,0.8363266396104396,True,False,True,,111.14901280403136,30,63,0.1448275862068965,2,131932,60.727629596825906,1073.92944835088,0.6227652613141332,0.7839416708945997,6.884868532258914,223.52764852306024,28.5447821791078,0.0055425288994988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ml_only,ml_predicted,1.1397550353302273,0.1758404710718902,0.75,1.2462472195367922,0.5,0.0289093110950508,False,False,True,,139.1985421180725,30,63,0.1448275862068965,2,131932,60.727629596825906,1073.92944835088,0.6227652613141332,0.7839416708945997,6.884868532258914,223.52764852306024,28.5447821791078,0.0055425288994988,12.327204214044563,20.299169086403097,91.09778745255198,8.482660345373036,0.0576960715284943,9.264497412312624,0.0392624604180263,5.008339506715272,1.1766978890182234,17.091072741443615,46.90164980330584,20.982482530990456,2.1061623759052637,7.378449632869875,0.0012957866749841,23.378978713531723,,,,,,,,,,,,,,,,,,,,
ml_refine,ml_refined,0.0033225025505961,0.0054006621694949,0.75,0.7091704784385038,0.75,0.5444483082172585,True,False,True,,25723.241109848022,30,63,0.1448275862068965,2,131932,60.727629596825906,1073.92944835088,0.6227652613141332,0.7839416708945997,6.884868532258914,223.52764852306024,28.5447821791078,0.0055425288994988,12.327204214044563,20.299169086403097,91.09778745255198,8.482660345373036,0.0576960715284943,9.264497412312624,0.0392624604180266,5.0083395067153,1.1766978890182251,17.09107274144364,46.90164980330584,20.982482530990456,2.1061623759052637,7.378449632869875,0.0012957866749841,23.37897871353169,1.1397550270964325,8680.0,True,0.0033225025505961,3.682458372749082,6.06389282307092,24.623237968781723,2.292817093952562,0.0073392293360142,1.1784904828103049,0.0025571826251,0.3261955219009769,0.8705509483809255,12.644409174835102,84.39662765797203,37.756683889253864,3.51852181758699,12.326322182097096,9.501329758396758e-05,1.7142589166887403
random,random,2.5162345799335912,0.0,0.5,0.0,0.5,-1.3345158533795144e-08,False,False,True,,106.11959409713744,30,63,0.1448275862068965,2,131932,60.727629596825906,1073.92944835088,0.6227652613141332,0.7839416708945997,6.884868532258914,223.52764852306024,28.5447821791078,0.0055425288994988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oracle,true,0.0,0.0056836171258176,0.75,1.227550624767101,0.75,1.227550624767101,True,False,True,,180.96795320510864,30,82,0.1885057471264367,5,644167,37.329246853122434,1179.512544397347,0.6638453168731658,0.886261850421244,5.318991101170741,177.02853171376395,19.77775185732155,0.0108796035396832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ml_only,ml_predicted,0.7392370520934233,0.0017539777113303,0.75,0.8532793937306806,0.75,0.190487975853172,True,False,True,,129.2149941921234,30,82,0.1885057471264367,5,644167,37.329246853122434,1179.512544397347,0.6638453168731658,0.886261850421244,5.318991101170741,177.02853171376395,19.77775185732155,0.0108796035396832,17.454550880335646,46.75837942556531,60.636534562257566,5.140813029100397,0.011123510966841,1.6756179011037131,0.0496742710064842,5.60492037170154,0.5698731010163236,10.713932213200682,17.51563980530929,9.894246783688123,4.157725229745715,21.022233769130537,0.0007864129999096,7.228323990050707,,,,,,,,,,,,,,,,,,,,
ml_refine,ml_refined,0.0052981717832551,0.0016259016465525,0.75,1.370938353486415,0.75,1.3771693609215152,True,False,True,,25942.243802070618,30,82,0.1885057471264367,5,644167,37.329246853122434,1179.512544397347,0.6638453168731658,0.886261850421244,5.318991101170741,177.02853171376395,19.77775185732155,0.0108796035396832,17.454550880335646,46.75837942556531,60.636534562257566,5.140813029100397,0.0111235109668411,1.6756179011037302,0.0496742710064843,5.604920371701552,0.5698731010163227,10.713932213200666,17.51563980530929,9.894246783688123,4.157725229745715,21.022233769130537,0.0007864129999096,7.228323990050707,0.7392370511983366,7780.0,True,0.0052981717832551,5.414789406630852,14.505487956726409,31.948388773703073,2.708609495121892,0.0306485490132426,4.616820851126309,0.0687190447273169,7.753808277643981,0.4895833964542353,9.20444097635867,32.36775017376715,18.283917208376348,2.268977653722402,11.47237395877719,0.0024806892767933,22.80128356648127
random,random,1.008939514204784,0.0083355518702448,0.75,1.4837418580534427,0.75,1.5364447934230363,True,False,True,,163.85080981254578,30,82,0.1885057471264367,5,644167,37.329246853122434,1179.512544397347,0.6638453168731658,0.886261850421244,5.318991101170741,177.02853171376395,19.77775185732155,0.0108796035396832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oracle,true,0.0,0.0041205215908874,0.75,0.4160669607987157,0.75,0.4160669607987157,True,False,True,,106.88239002227785,30,55,0.1264367816091954,6,110268,77.4907175224435,1008.1286606595844,0.6233228010080599,0.8258262153732663,6.49635455139799,205.0741327762399,28.037317907109017,0.011801534127428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ml_only,ml_predicted,0.4145393013194083,0.0151129059116622,0.75,0.4807465054041169,0.75,0.4160669607987157,True,False,True,,115.00580310821532,30,55,0.1264367816091954,6,110268,77.4907175224435,1008.1286606595844,0.6233228010080599,0.8258262153732663,6.49635455139799,205.0741327762399,28.037317907109017,0.011801534127428,3.7902213361460326,4.891194013067935,160.76806062447406,15.947176873165477,2.1410841263391767e-05,0.0034349523594083,0.0190818880532489,2.310642081314101,1.1345119943280595,17.463825062726194,22.122960377310704,10.787786873851458,2.048623442194298,7.30677395382228,0.0048328723817337,40.951221159886614,,,,,,,,,,,,,,,,,,,,
ml_refine,ml_refined,0.007459445934356,0.0008220017570288,0.75,0.396720879137755,0.75,0.4160669607987157,True,False,True,,22229.799323797222,30,55,0.1264367816091954,6,110268,77.4907175224435,1008.1286606595844,0.6233228010080599,0.8258262153732663,6.49635455139799,205.0741327762399,28.037317907109017,0.011801534127428,3.7902213361460184,4.891194013067916,160.76806062447383,15.947176873165454,2.1410841263280744e-05,0.0034349523593905,0.0190818880532488,2.3106420813140875,1.1345119943280606,17.463825062726208,22.122960377310648,10.787786873851427,2.048623442194298,7.30677395382228,0.0048328723817337,40.95122115988663,0.4145394521993245,11524.0,True,0.0074598258598461,0.8517212020463205,1.099126746114512,2.580538600765749,0.2559731412731718,0.0149488212618336,2.398247141811529,0.0455407758201734,5.51457134284298,2.7905873363716376,42.956204348916856,25.627838034104684,12.496865249239008,1.0330553517737258,3.6845726655904714,0.0008787497482101,7.446063632708329
random,random,1.3595315285458929,0.0,0.5,0.0,0.5,-3.998370004820728e-05,False,False,True,,102.80010604858398,30,55,0.1264367816091954,6,110268,77.4907175224435,1008.1286606595844,0.6233228010080599,0.8258262153732663,6.49635455139799,205.0741327762399,28.037317907109017,0.011801534127428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oracle,true,0.0,0.0,0.5,0.0,0.5,0.0,False,False,True,,127.41650080680849,30,63,0.1448275862068965,10,999890,43.45124122271654,1101.9135692088842,0.7479450375110188,0.9073858171000696,6.837616514559082,141.35535801993203,19.36567234052217,0.0035781090437398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
