specimen_idx,specimen_seed,num_nodes,tuned_score,perturbed_param,perturbation_pct,direction,xor_accuracy_twin,xor_accuracy_specimen,accuracy_drop,baseline_accuracy,baseline_xor_score,baseline_twin_accuracy,twin_accuracy_drop
1,54166,50,2.026694842696495,b,10.0,up,0.5,0.75,0.0,0.75,2.026694842696495,0.5,0.0
1,54166,50,2.026694842696495,b,-10.0,down,0.5,0.75,0.0,0.75,2.026694842696495,0.5,0.0
1,54166,50,2.026694842696495,b,20.0,up,0.5,0.75,0.0,0.75,2.026694842696495,0.5,0.0
1,54166,50,2.026694842696495,b,-20.0,down,0.5,0.75,0.0,0.75,2.026694842696495,0.5,0.0
1,54166,50,2.026694842696495,b,30.0,up,0.5,0.75,0.0,0.75,2.026694842696495,0.5,0.0
1,54166,50,2.026694842696495,b,-30.0,down,0.5,0.75,0.0,0.75,2.026694842696495,0.5,0.0
1,54166,50,2.026694842696495,v_scale,5.0,up,0.5,0.75,0.0,0.75,2.026694842696495,0.5,0.0
1,54166,50,2.026694842696495,v_scale,-5.0,down,0.5,0.75,0.0,0.75,2.026694842696495,0.5,0.0
1,54166,50,2.026694842696495,v_scale,10.0,up,0.5,0.75,0.0,0.75,2.026694842696495,0.5,0.0
1,54166,50,2.026694842696495,v_scale,-10.0,down,0.5,0.75,0.0,0.75,2.026694842696495,0.5,0.0
1,54166,50,2.026694842696495,v_scale,20.0,up,0.5,0.75,0.0,0.75,2.026694842696495,0.5,0.0
1,54166,50,2.026694842696495,v_scale,-20.0,down,0.5,0.75,0.0,0.75,2.026694842696495,0.5,0.0
1,54166,50,2.026694842696495,v_scale,30.0,up,0.5,0.75,0.0,0.75,2.026694842696495,0.5,0.0
1,54166,50,2.026694842696495,v_scale,-30.0,down,0.5,0.75,0.0,0.75,2.026694842696495,0.5,0.0
1,54166,50,2.026694842696495,R_off,5.0,up,0.5,0.75,0.0,0.75,2.026694842696495,0.5,0.0
1,54166,50,2.026694842696495,R_off,-5.0,down,0.5,0.75,0.0,0.75,2.026694842696495,0.5,0.0
1,54166,50,2.026694842696495,R_off,10.0,up,0.5,0.75,0.0,0.75,2.026694842696495,0.5,0.0
1,54166,50,2.026694842696495,R_off,-10.0,down,0.5,0.75,0.0,0.75,2.026694842696495,0.5,0.0
1,54166,50,2.026694842696495,R_off,20.0,up,0.5,0.75,0.0,0.75,2.026694842696495,0.5,0.0
1,54166,50,2.026694842696495,R_off,-20.0,down,0.5,0.75,0.0,0.75,2.026694842696495,0.5,0.0
1,54166,50,2.026694842696495,R_off,30.0,up,0.5,0.75,0.0,0.75,2.026694842696495,0.5,0.0
1,54166,50,2.026694842696495,R_off,-30.0,down,0.5,0.75,0.0,0.75,2.026694842696495,0.5,0.0
