specimen_idx,specimen_seed,num_nodes,perturbed_param,perturbation_pct,direction,xor_accuracy_twin,xor_accuracy_specimen,accuracy_drop,baseline_accuracy,baseline_xor_score
4,259178,80,tau_w,20.0,up,0.5,0.5,0.0,0.5,0.0
4,259178,80,tau_w,-20.0,down,0.5,0.5,0.0,0.5,0.0
4,259178,80,tau_w,30.0,up,0.5,0.5,0.0,0.5,0.0
4,259178,80,tau_w,-30.0,down,0.5,0.5,0.0,0.5,0.0
4,259178,80,a,5.0,up,0.5,0.5,0.0,0.5,0.0
4,259178,80,a,-5.0,down,0.5,0.5,0.0,0.5,0.0
4,259178,80,a,10.0,up,0.5,0.5,0.0,0.5,0.0
4,259178,80,a,-10.0,down,0.25,0.5,0.0,0.5,0.0
4,259178,80,a,20.0,up,0.5,0.5,0.0,0.5,0.0
4,259178,80,a,-20.0,down,0.25,0.5,0.0,0.5,0.0
4,259178,80,a,30.0,up,0.5,0.5,0.0,0.5,0.0
4,259178,80,a,-30.0,down,0.25,0.5,0.0,0.5,0.0
4,259178,80,b,5.0,up,0.5,0.5,0.0,0.5,0.0
4,259178,80,b,-5.0,down,0.5,0.5,0.0,0.5,0.0
4,259178,80,b,10.0,up,0.5,0.5,0.0,0.5,0.0
4,259178,80,b,-10.0,down,0.5,0.5,0.0,0.5,0.0
4,259178,80,b,20.0,up,0.5,0.5,0.0,0.5,0.0
4,259178,80,b,-20.0,down,0.25,0.5,0.0,0.5,0.0
4,259178,80,b,30.0,up,0.5,0.5,0.0,0.5,0.0
4,259178,80,b,-30.0,down,0.25,0.5,0.0,0.5,0.0
4,259178,80,v_scale,5.0,up,0.5,0.5,0.0,0.5,0.0
4,259178,80,v_scale,-5.0,down,0.5,0.5,0.0,0.5,0.0
4,259178,80,v_scale,10.0,up,0.5,0.5,0.0,0.5,0.0
4,259178,80,v_scale,-10.0,down,0.5,0.5,0.0,0.5,0.0
4,259178,80,v_scale,20.0,up,0.5,0.5,0.0,0.5,0.0
4,259178,80,v_scale,-20.0,down,0.5,0.5,0.0,0.5,0.0
4,259178,80,v_scale,30.0,up,0.5,0.5,0.0,0.5,0.0
4,259178,80,v_scale,-30.0,down,0.5,0.5,0.0,0.5,0.0
